Группа,Период,Показатель,Подразделение
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.784214,"Пятигорск, Винсады, Черкесское шоссе"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,1.458624,"Симферополь, Генерала Васильева, 23А"
О-01.01. Фанера ФК,2022-01-31 23:59:59,4.490825,"Армавир, Дружба отделение 1 СНТ, 36"
О-02.07.01. Брус строганый ,2022-01-31 23:59:59,0.0378,"Пятигорск, Винсады, Черкесское шоссе"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,0.160746,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,18020.72,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-01.05. OSB,2022-01-31 23:59:59,59.04436,"Адлер, Гастелло, 30А"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,6.493,"Краснодар, Тополиная, 27/1"
О-01.06. ДВП,2022-01-31 23:59:59,73.719722,"Краснодар, Тополиная, 27/1"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,0.77856,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,1.488804,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.09. МДФ,2022-01-31 23:59:59,0.521139,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,9.609277,"Севастополь, Камышовое шоссе, 25"
О-02.06. Круглый погонаж ель/сосна,2022-01-31 23:59:59,0.010895,"Севастополь, Камышовое шоссе, 25"
О-01.06. ДВП,2022-01-31 23:59:59,0.090294,"Симферополь, Генерала Васильева, 23А"
О-02.03. Доска пола,2022-01-31 23:59:59,7.20981,"Севастополь, Камышовое шоссе, 25"
"О-02.02. Имитация бруса, Блок - Хаус",2022-01-31 23:59:59,14.582922,"Краснодар, Ростовское шоссе, 26/1"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,915.0,"Краснодар, ст-ца Елизаветинская, Степная, 252"
О-04. ЛЕСТНИЧНЫЕ ЭЛЕМЕНТЫ,2022-01-31 23:59:59,0.0003,"Севастополь, Камышовое шоссе, 25"
О-04. ЛЕСТНИЧНЫЕ ЭЛЕМЕНТЫ,2022-01-31 23:59:59,0.054,"Сочи, Подгорная, 2 литЖ"
О-01.09. МДФ,2022-01-31 23:59:59,21.045183,"Краснодар, Тополиная, 27/1"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,1.714638,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.09. МДФ,2022-01-31 23:59:59,1.023511,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,36.860678,"Краснодар, Тополиная, 27/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,8.022508,"Пятигорск, Винсады, Черкесское шоссе"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,922366.7,"Краснодар, Тополиная, 27/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,5.866804,"Адлер, Гастелло, 30А"
О-02.05. Планкен ,2022-01-31 23:59:59,0.1824,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.06. ДВП,2022-01-31 23:59:59,5.987324,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.05. OSB,2022-01-31 23:59:59,795.222242,"Краснодар, Тополиная, 27/1"
О-01.01. Фанера ФК,2022-01-31 23:59:59,7.770018,"Новороссийск, Гайдук, Новороссийское ш. 24А"
С-05. ИНСТРУМЕНТ И ИНВЕНТАРЬ,2022-01-31 23:59:59,518.0,"Краснодар, Тополиная, 27/1"
О-03.02. Клееный брус,2022-01-31 23:59:59,1.0188,"Сочи, Подгорная, 2 литЖ"
О-02.01. Вагонка,2022-01-31 23:59:59,34.955,"Краснодар, Ростовское шоссе, 26/1"
О-02.01. Вагонка,2022-01-31 23:59:59,23.214393,"Краснодар, Тополиная, 27/1"
О-01.09. МДФ,2022-01-31 23:59:59,1.117311,"Сочи, Подгорная, 2 литЖ"
О-02.01. Вагонка,2022-01-31 23:59:59,2.49684,"Пятигорск, Винсады, Черкесское шоссе"
О-01.09. МДФ,2022-01-31 23:59:59,0.255723,"Адлер, Гастелло, 30А"
О-01.01. Фанера ФК,2022-01-31 23:59:59,4.051332,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.01. Фанера ФК,2022-01-31 23:59:59,6.697777,"Адлер, Гастелло, 30А"
О-01.05. OSB,2022-01-31 23:59:59,85.694031,"Севастополь, Камышовое шоссе, 25"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,2.033142,"Пятигорск, Винсады, Черкесское шоссе"
С-05. ИНСТРУМЕНТ И ИНВЕНТАРЬ,2022-01-31 23:59:59,78.0,"Сочи, Подгорная, 2 литЖ"
О-03.02. Клееный брус,2022-01-31 23:59:59,1.638,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-02.01. Вагонка,2022-01-31 23:59:59,7.71975,"Севастополь, Камышовое шоссе, 25"
С-08.ФАСАДЫ и ДВЕРКИ ДЛЯ МЕБЕЛИ,2022-01-31 23:59:59,0.075724,"Краснодар, Тополиная, 27/1"
С-07. СИСТЕМЫ ХРАНЕНИЯ,2022-01-31 23:59:59,0.0378,"Краснодар, Тополиная, 27/1"
С-06. ДВЕРИ МЕЖКОМНАТНЫЕ,2022-01-31 23:59:59,0.12,"Краснодар, Тополиная, 27/1"
О-01.06. ДВП,2022-01-31 23:59:59,2.557578,"Севастополь, Камышовое шоссе, 25"
О-06. НЕКОНДИЦИЯ,2022-01-31 23:59:59,0.581336,"Краснодар, Тополиная, 27/1"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,15.708531,"Сочи, Подгорная, 2 литЖ"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,0.015,"Пятигорск, Винсады, Черкесское шоссе"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,1.27571,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,2.02316,"Сочи, Подгорная, 2 литЖ"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,0.66488,"Адлер, Гастелло, 30А"
О-03.02. Клееный брус,2022-01-31 23:59:59,2.1885,"Краснодар, Ростовское шоссе, 26/1"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,0.168,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,30.970868,"Краснодар, Тополиная, 27/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,0.43404,"Симферополь, Внешняя, 28 А"
О-01.06. ДВП,2022-01-31 23:59:59,11.748802,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-03.02. Клееный брус,2022-01-31 23:59:59,0.0588,"Адлер, Гастелло, 30А"
О-01.08. ЛДСП,2022-01-31 23:59:59,4.10652,"Севастополь, Камышовое шоссе, 25"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,5.36772,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,67.026316,"Адлер, Гастелло, 30А"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,1.671759,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.01. Фанера ФК,2022-01-31 23:59:59,10.925866,"Сочи, Подгорная, 2 литЖ"
О-02.04. Террасная доска,2022-01-31 23:59:59,1.13994,"Севастополь, Камышовое шоссе, 25"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,49455.01,"Севастополь, Камышовое шоссе, 25"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,2.424461,"Сочи, Подгорная, 2 литЖ"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,0.612516,"Адлер, Гастелло, 30А"
О-03.01. Дверная коробка сосна,2022-01-31 23:59:59,0.04956,"Сочи, Подгорная, 2 литЖ"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,5.122952,"Краснодар, Тополиная, 27/1"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,9.545946,"Сочи, Подгорная, 2 литЖ"
О-01.07. ДСП,2022-01-31 23:59:59,0.49,"Пятигорск, Винсады, Черкесское шоссе"
О-02.05. Планкен ,2022-01-31 23:59:59,0.4596,"Севастополь, Камышовое шоссе, 25"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,4.547678,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,0.045,"Армавир, Дружба отделение 1 СНТ, 36"
О-02.04. Террасная доска,2022-01-31 23:59:59,1.39968,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,10.262548,"Севастополь, Камышовое шоссе, 25"
О-01.07. ДСП,2022-01-31 23:59:59,17.284,"Краснодар, Тополиная, 27/1"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,0.003,"Пятигорск, Винсады, Черкесское шоссе"
О-02.05. Планкен ,2022-01-31 23:59:59,18.986532,"Краснодар, Тополиная, 27/1"
С-06. ДВЕРИ МЕЖКОМНАТНЫЕ,2022-01-31 23:59:59,0.456,"Сочи, Подгорная, 2 литЖ"
О-02.01. Вагонка,2022-01-31 23:59:59,0.468,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.07.01. Брус строганый ,2022-01-31 23:59:59,0.2352,"Севастополь, Камышовое шоссе, 25"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.075968,"Краснодар, Ростовское шоссе, 26/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,0.348768,"Симферополь, Генерала Васильева, 23А"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,2.230075,"Армавир, Дружба отделение 1 СНТ, 36"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,234027.76,"Сочи, Подгорная, 2 литЖ"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,7.229473,"Сочи, Подгорная, 2 литЖ"
О-02.03. Доска пола,2022-01-31 23:59:59,11.87036,"Краснодар, Ростовское шоссе, 26/1"
О-02.01. Вагонка,2022-01-31 23:59:59,5.746,"Адлер, Гастелло, 30А"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,4.436052,"Сочи, Подгорная, 2 литЖ"
О-01.09. МДФ,2022-01-31 23:59:59,0.05796,"Симферополь, Генерала Васильева, 23А"
О-01.05. OSB,2022-01-31 23:59:59,65.907927,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,0.2348,"Новороссийск, Гайдук, Новороссийское ш. 24А"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,2449.76,"Пятигорск, Винсады, Черкесское шоссе"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,7.4359,"Краснодар, Ростовское шоссе, 26/1"
О-02.05. Планкен ,2022-01-31 23:59:59,0.1488,"Пятигорск, Винсады, Черкесское шоссе"
О-01.06. ДВП,2022-01-31 23:59:59,15.361781,"Пятигорск, Винсады, Черкесское шоссе"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,1.752267,"Адлер, Гастелло, 30А"
О-01.05. OSB,2022-01-31 23:59:59,45.046674,"Симферополь, Генерала Васильева, 23А"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,0.513073,"Армавир, Дружба отделение 1 СНТ, 36"
"О-02.02. Имитация бруса, Блок - Хаус",2022-01-31 23:59:59,4.417478,"Адлер, Гастелло, 30А"
О-02.06. Круглый погонаж ель/сосна,2022-01-31 23:59:59,0.003025,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,24.857595,"Адлер, Гастелло, 30А"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,37.874845,"Краснодар, Тополиная, 27/1"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,0.04896,"Симферополь, Генерала Васильева, 23А"
О-02.03. Доска пола,2022-01-31 23:59:59,0.4968,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,4880.0,"Краснодар, ст-ца Елизаветинская, Степная, 252"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,0.111468,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,7.56,"Краснодар, Ростовское шоссе, 26/1"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,0.828942,"Новороссийск, Гайдук, Новороссийское ш. 24А"
"О-02.02. Имитация бруса, Блок - Хаус",2022-01-31 23:59:59,1.5427,"Краснодар, Тополиная, 27/1"
О-02.01. Вагонка,2022-01-31 23:59:59,6.3324,"Симферополь, Внешняя, 28 А"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,337084.8,"Севастополь, Камышовое шоссе, 25"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,3.875803,"Краснодар, Тополиная, 27/1"
О-04. ЛЕСТНИЧНЫЕ ЭЛЕМЕНТЫ,2022-01-31 23:59:59,0.1944,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,5.052552,"Сочи, Подгорная, 2 литЖ"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,4.209175,"Пятигорск, Винсады, Черкесское шоссе"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,0.88244,"Армавир, Дружба отделение 1 СНТ, 36"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,75354.24,"Армавир, Дружба отделение 1 СНТ, 36"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,31568.0,"Новороссийск, Гайдук, Новороссийское ш. 24А"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,9.330649,"Краснодар, Тополиная, 27/1"
О-04. ЛЕСТНИЧНЫЕ ЭЛЕМЕНТЫ,2022-01-31 23:59:59,0.4056,"Адлер, Гастелло, 30А"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,8.733671,"Севастополь, Камышовое шоссе, 25"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,23.959586,"Краснодар, Тополиная, 27/1"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.0162,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.01. Фанера ФК,2022-01-31 23:59:59,12.165472,"Севастополь, Камышовое шоссе, 25"
С-05. ИНСТРУМЕНТ И ИНВЕНТАРЬ,2022-01-31 23:59:59,477.0,"Армавир, Дружба отделение 1 СНТ, 36"
О-02.04. Террасная доска,2022-01-31 23:59:59,1.64376,"Сочи, Подгорная, 2 литЖ"
О-02.04. Террасная доска,2022-01-31 23:59:59,1.87488,"Адлер, Гастелло, 30А"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,18753.0,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,23.058187,"Адлер, Гастелло, 30А"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,14.15088,"Адлер, Гастелло, 30А"
О-01.01. Фанера ФК,2022-01-31 23:59:59,2.804733,"Симферополь, Генерала Васильева, 23А"
О-02.03. Доска пола,2022-01-31 23:59:59,20.772603,"Краснодар, Тополиная, 27/1"
О-02.07.01. Брус строганый ,2022-01-31 23:59:59,0.2166,"Адлер, Гастелло, 30А"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,10724.0,"Адлер, Гастелло, 30А"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.640259,"Сочи, Подгорная, 2 литЖ"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,4.882958,"Краснодар, Ростовское шоссе, 26/1"
О-02.05. Планкен ,2022-01-31 23:59:59,0.6888,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.05. OSB,2022-01-31 23:59:59,46.15094,"Сочи, Подгорная, 2 литЖ"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,4.795612,"Севастополь, Камышовое шоссе, 25"
О-01.01. Фанера ФК,2022-01-31 23:59:59,19.209885,"Краснодар, Ростовское шоссе, 26/1"
О-02.01. Вагонка,2022-01-31 23:59:59,3.05058,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.08. ЛДСП,2022-01-31 23:59:59,0.495336,"Краснодар, Тополиная, 27/1"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,5876.9,"Адлер, Гастелло, 30А"
О-04. ЛЕСТНИЧНЫЕ ЭЛЕМЕНТЫ,2022-01-31 23:59:59,1.137832,"Краснодар, Тополиная, 27/1"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.033443,"Симферополь, Генерала Васильева, 23А"
О-02.05. Планкен ,2022-01-31 23:59:59,1.8602,"Адлер, Гастелло, 30А"
О-03.01. Дверная коробка сосна,2022-01-31 23:59:59,0.042,"Краснодар, Тополиная, 27/1"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,1.478769,"Адлер, Гастелло, 30А"
О-01.05. OSB,2022-01-31 23:59:59,132.23898,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.05. OSB,2022-01-31 23:59:59,48.152373,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-01.06. ДВП,2022-01-31 23:59:59,7.295223,"Сочи, Подгорная, 2 литЖ"
О-01.01. Фанера ФК,2022-01-31 23:59:59,4.451288,"Симферополь, Внешняя, 28 А"
О-02.04. Террасная доска,2022-01-31 23:59:59,0.3888,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,1.116292,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-04. ЛЕСТНИЧНЫЕ ЭЛЕМЕНТЫ,2022-01-31 23:59:59,0.1642,"Пятигорск, Винсады, Черкесское шоссе"
О-02.05. Планкен ,2022-01-31 23:59:59,0.2096,"Сочи, Подгорная, 2 литЖ"
О-01.09. МДФ,2022-01-31 23:59:59,0.150696,"Севастополь, Камышовое шоссе, 25"
О-01.06. ДВП,2022-01-31 23:59:59,2.985111,"Адлер, Гастелло, 30А"
О-07.  ПРОДУКЦИЯ из ЭКЗОТИЧЕСКИХ ПОРОД ДРЕВЕСИНЫ,2022-01-31 23:59:59,0.320514,"Севастополь, Камышовое шоссе, 25"
О-03.02. Клееный брус,2022-01-31 23:59:59,0.2406,"Пятигорск, Винсады, Черкесское шоссе"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,0.03456,"Симферополь, Внешняя, 28 А"
О-02.03. Доска пола,2022-01-31 23:59:59,2.799765,"Сочи, Подгорная, 2 литЖ"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,116830.35,"Краснодар, Тополиная, 27/1"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.016999,"Симферополь, Внешняя, 28 А"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,3.789315,"Пятигорск, Винсады, Черкесское шоссе"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,4.938378,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-01.09. МДФ,2022-01-31 23:59:59,0.05676,"Пятигорск, Винсады, Черкесское шоссе"
О-01.07. ДСП,2022-01-31 23:59:59,0.098,"Адлер, Гастелло, 30А"
О-02.03. Доска пола,2022-01-31 23:59:59,0.53676,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,71.081893,"Краснодар, Тополиная, 27/1"
С-05. ИНСТРУМЕНТ И ИНВЕНТАРЬ,2022-01-31 23:59:59,162.0,"Пятигорск, Винсады, Черкесское шоссе"
О-03.02. Клееный брус,2022-01-31 23:59:59,1.5576,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,1.034437,"Симферополь, Генерала Васильева, 23А"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,5.387969,"Севастополь, Камышовое шоссе, 25"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,1.00614,"Симферополь, Внешняя, 28 А"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,0.19349,"Армавир, Дружба отделение 1 СНТ, 36"
"О-02.02. Имитация бруса, Блок - Хаус",2022-01-31 23:59:59,0.853164,"Армавир, Дружба отделение 1 СНТ, 36"
О-02.07.01. Брус строганый ,2022-01-31 23:59:59,2.0454,"Краснодар, Тополиная, 27/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,24.220168,"Краснодар, Ростовское шоссе, 26/1"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,0.464386,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.03. Доска пола,2022-01-31 23:59:59,0.5589,"Пятигорск, Винсады, Черкесское шоссе"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,1.41231,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.06. Круглый погонаж ель/сосна,2022-01-31 23:59:59,0.018315,"Пятигорск, Винсады, Черкесское шоссе"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,7.947069,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,0.9996,"Пятигорск, Винсады, Черкесское шоссе"
О-01.08. ЛДСП,2022-01-31 23:59:59,0.16104,"Новороссийск, Гайдук, Новороссийское ш. 24А"
"О-05. БАНИ, САУНЫ",2022-01-31 23:59:59,0.403892,"Севастополь, Камышовое шоссе, 25"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,83012.52,"Сочи, Подгорная, 2 литЖ"
О-02.05. Планкен ,2022-01-31 23:59:59,6.4772,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-02.08. Импрегнированные и термомодифицированные изделия,2022-01-31 23:59:59,1.4877,"Сочи, Подгорная, 2 литЖ"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,27134.56,"Пятигорск, Винсады, Черкесское шоссе"
О-01.07. ДСП,2022-01-31 23:59:59,1.3176,"Севастополь, Камышовое шоссе, 25"
О-01.06. ДВП,2022-01-31 23:59:59,2.331402,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.05. OSB,2022-01-31 23:59:59,359.223255,"Пятигорск, Винсады, Черкесское шоссе"
О-01.04. Фанера ФЛФ (ламинированная),2022-01-31 23:59:59,5.358207,"Симферополь, Генерала Васильева, 23А"
О-01.01. Фанера ФК,2022-01-31 23:59:59,61.929618,"Краснодар, Тополиная, 27/1"
О-03.02. Клееный брус,2022-01-31 23:59:59,0.9432,"Севастополь, Камышовое шоссе, 25"
О-03.02. Клееный брус,2022-01-31 23:59:59,0.9408,"Симферополь, Внешняя, 28 А"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,59965.4,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,4.488954,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-02.03. Доска пола,2022-01-31 23:59:59,0.1863,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,2.485636,"Армавир, Дружба отделение 1 СНТ, 36"
О-03.02. Клееный брус,2022-01-31 23:59:59,8.2749,"Краснодар, Тополиная, 27/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,6.75411,"Сочи, Подгорная, 2 литЖ"
О-02.07.06. Доска обрезная сухая ,2022-01-31 23:59:59,1.56,"Севастополь, Камышовое шоссе, 25"
"О-02.02. Имитация бруса, Блок - Хаус",2022-01-31 23:59:59,3.87436,"Сочи, Подгорная, 2 литЖ"
О-02.04. Террасная доска,2022-01-31 23:59:59,0.75264,"Краснодар, Ростовское шоссе, 26/1"
О-02.04. Террасная доска,2022-01-31 23:59:59,1.514025,"Пятигорск, Винсады, Черкесское шоссе"
О-02.01. Вагонка,2022-01-31 23:59:59,5.284747,"Сочи, Подгорная, 2 литЖ"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.168778,"Армавир, Дружба отделение 1 СНТ, 36"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.10861,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-03.02. Клееный брус,2022-01-31 23:59:59,0.1134,"Симферополь, Генерала Васильева, 23А"
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,1.847378,"Севастополь, Камышовое шоссе, 25"
С-08.ФАСАДЫ и ДВЕРКИ ДЛЯ МЕБЕЛИ,2022-01-31 23:59:59,0.014024,"Сочи, Подгорная, 2 литЖ"
О-01.08. ЛДСП,2022-01-31 23:59:59,0.185472,"Сочи, Подгорная, 2 литЖ"
О-02.01. Вагонка,2022-01-31 23:59:59,6.33184,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-02.06. Круглый погонаж ель/сосна,2022-01-31 23:59:59,0.09295,"Краснодар, Тополиная, 27/1"
"О-02.02. Имитация бруса, Блок - Хаус",2022-01-31 23:59:59,3.488506,"Новороссийск, Гайдук, Новороссийское ш. 24А"
С-05. ИНСТРУМЕНТ И ИНВЕНТАРЬ,2022-01-31 23:59:59,2890.0,"Севастополь, Камышовое шоссе, 25"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,2.26696,"Севастополь, Камышовое шоссе, 25"
О-02.01. Вагонка,2022-01-31 23:59:59,0.9306,"Симферополь, Генерала Васильева, 23А"
О-01.07. ДСП,2022-01-31 23:59:59,0.732,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,1.882764,"Симферополь, Генерала Васильева, 23А"
О-02.04. Террасная доска,2022-01-31 23:59:59,20.459565,"Краснодар, Тополиная, 27/1"
О-01.07. ДСП,2022-01-31 23:59:59,0.28,"Сочи, Подгорная, 2 литЖ"
О-01.01. Фанера ФК,2022-01-31 23:59:59,15.321378,"Пятигорск, Винсады, Черкесское шоссе"
